Sample	Species	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
MRR160063	Klebsiella pneumoniae		NODE_19_length_80279_cov_29.481398	52120	52572	-	terB	tellurium resistance membrane protein TerB	plus	STRESS	METAL	TELLURIUM	TELLURIUM	EXACTX	151	151	100.0	100.0	151	ACI12150.1	tellurium resistance membrane protein TerB		
MRR160063	Klebsiella pneumoniae		NODE_19_length_80279_cov_29.481398	75399	75824	-	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	142	144	98.61	92.96	142	CAA77320.1	mercury resistance transcriptional regulator MerR		
MRR160063	Klebsiella pneumoniae		NODE_19_length_80279_cov_29.481398	75914	76258	+	merT	mercuric transport protein MerT	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	115	116	99.14	98.26	115	CAA70196.1	mercuric transport protein MerT		
MRR160063	Klebsiella pneumoniae		NODE_19_length_80279_cov_29.481398	77044	78726	+	merA	mercury(II) reductase	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	561	561	100.0	93.23	561	ACU65296.1	mercury(II) reductase		
MRR160063	Klebsiella pneumoniae		NODE_19_length_80279_cov_29.481398	78747	79109	+	merD	mercury resistance co-regulator MerD	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	121	121	100.0	90.08	121	AAC38221.1	mercury resistance co-regulator MerD		
MRR160063	Klebsiella pneumoniae		NODE_19_length_80279_cov_29.481398	79109	79342	+	merE	broad-spectrum mercury transporter MerE	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	78	78	100.0	96.15	78	AAC38236.1	broad-spectrum mercury transporter MerE		
MRR160063	Klebsiella pneumoniae		NODE_21_length_72968_cov_34.038207	20395	21576	+	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	394	394	100.0	99.49	394	ACN65732.1	multidrug efflux MFS transporter EmrD		
MRR160063	Klebsiella pneumoniae		NODE_24_length_52136_cov_42.355092	695	1123	-	silE	silver-binding protein SilE	plus	STRESS	METAL	SILVER	SILVER	BLASTX	143	143	100.0	91.61	143	AAD11743.1	silver-binding protein SilE		
MRR160063	Klebsiella pneumoniae		NODE_24_length_52136_cov_42.355092	1377	2849	-	silS	copper/silver sensor histidine kinase SilS	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	EXACTX	491	491	100.0	100.0	491	SPD96882.1	copper/silver sensor histidine kinase SilS		
MRR160063	Klebsiella pneumoniae		NODE_24_length_52136_cov_42.355092	2845	3522	-	silR	copper/silver response regulator transcription factor SilR	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	EXACTX	226	226	100.0	100.0	226	SPD96883.1	copper/silver response regulator transcription factor SilR		
MRR160063	Klebsiella pneumoniae		NODE_24_length_52136_cov_42.355092	3712	5094	+	silC	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	EXACTX	461	461	100.0	100.0	461	SPD96884.1	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC		
MRR160063	Klebsiella pneumoniae		NODE_24_length_52136_cov_42.355092	5126	5476	+	silF	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTX	117	117	100.0	99.15	117	KGL71342.1	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF		
MRR160063	Klebsiella pneumoniae		NODE_24_length_52136_cov_42.355092	5593	6882	+	silB	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTX	430	430	100.0	97.67	430	AAD11748.1	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB		
MRR160063	Klebsiella pneumoniae		NODE_24_length_52136_cov_42.355092	6896	10039	+	silA	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTX	1048	1048	100.0	98.85	1048	AAD11749.1	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA		
MRR160063	Klebsiella pneumoniae		NODE_24_length_52136_cov_42.355092	10675	13140	+	silP	Ag(+)-translocating P-type ATPase SilP	plus	STRESS	METAL	SILVER	SILVER	BLASTX	822	824	99.64	94.53	823	AAD11750.1	Ag(+)-translocating P-type ATPase SilP		
MRR160063	Klebsiella pneumoniae		NODE_24_length_52136_cov_42.355092	15124	16938	+	pcoA	multicopper oxidase PcoA	plus	STRESS	METAL	COPPER	COPPER	EXACTX	605	605	100.0	100.0	605	CAA58525.1	multicopper oxidase PcoA		
MRR160063	Klebsiella pneumoniae		NODE_24_length_52136_cov_42.355092	16947	17834	+	pcoB	copper-binding protein PcoB	plus	STRESS	METAL	COPPER	COPPER	EXACTX	296	296	100.0	100.0	296	CAA58526.1	copper-binding protein PcoB		
MRR160063	Klebsiella pneumoniae		NODE_24_length_52136_cov_42.355092	17877	18254	+	pcoC	copper resistance system metallochaperone PcoC	plus	STRESS	METAL	COPPER	COPPER	EXACTX	126	126	100.0	100.0	126	CAA58527.1	copper resistance system metallochaperone PcoC		
MRR160063	Klebsiella pneumoniae		NODE_24_length_52136_cov_42.355092	18262	19188	+	pcoD	copper resistance inner membrane protein PcoD	plus	STRESS	METAL	COPPER	COPPER	BLASTX	309	309	100.0	99.68	309	CAA58528.1	copper resistance inner membrane protein PcoD		
MRR160063	Klebsiella pneumoniae		NODE_24_length_52136_cov_42.355092	19246	19923	+	pcoR	copper response regulator transcription factor PcoR	plus	STRESS	METAL	COPPER	COPPER	EXACTX	226	226	100.0	100.0	226	CAA58529.1	copper response regulator transcription factor PcoR		
MRR160063	Klebsiella pneumoniae		NODE_24_length_52136_cov_42.355092	24080	24511	+	pcoE	copper resistance system metallochaperone PcoE	plus	STRESS	METAL	COPPER	COPPER	BLASTX	144	144	100.0	94.44	144	CAA58532.1	copper resistance system metallochaperone PcoE		
MRR160063	Klebsiella pneumoniae		NODE_24_length_52136_cov_42.355092	32991	34277	-	arsB	arsenite efflux transporter membrane subunit ArsB	plus	STRESS	METAL	ARSENIC	ARSENITE	EXACTX	429	429	100.0	100.0	429	BAA24823.1	arsenite efflux transporter membrane subunit ArsB		
MRR160063	Klebsiella pneumoniae		NODE_24_length_52136_cov_42.355092	34328	36076	-	arsA	arsenite efflux transporter ATPase subunit ArsA	plus	STRESS	METAL	ARSENIC	ARSENITE	EXACTX	583	583	100.0	100.0	583	BAA24822.1	arsenite efflux transporter ATPase subunit ArsA		
MRR160063	Klebsiella pneumoniae		NODE_24_length_52136_cov_42.355092	36097	36456	-	arsD	arsenite efflux transporter metallochaperone ArsD	plus	STRESS	METAL	ARSENIC	ARSENITE	BLASTX	120	120	100.0	91.67	120	AAB09625.1	arsenite efflux transporter metallochaperone ArsD		
MRR160063	Klebsiella pneumoniae		NODE_24_length_52136_cov_42.355092	36509	36856	-	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	plus	STRESS	METAL			EXACTX	116	116	100.0	100.0	116	AET17094.1	As(III)-sensing metalloregulatory transcriptional repressor ArsR		
MRR160063	Klebsiella pneumoniae		NODE_24_length_52136_cov_42.355092	49215	49781	-	hsp20	small heat shock protein sHSP20	plus	STRESS	HEAT			EXACTX	189	189	100.0	100.0	189	CDY80020.1	small heat shock protein sHSP20		
MRR160063	Klebsiella pneumoniae		NODE_27_length_41954_cov_33.866187	685	1155	+	dfrA1	trimethoprim-resistant dihydrofolate reductase DfrA1	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	157	157	100.0	100.0	157	WP_000777554.1	trimethoprim-resistant dihydrofolate reductase DfrA1		
MRR160063	Klebsiella pneumoniae		NODE_27_length_41954_cov_33.866187	1253	1774	+	sat2	streptothricin N-acetyltransferase Sat2	core	AMR	AMR	STREPTOTHRICIN	STREPTOTHRICIN	EXACTX	174	174	100.0	100.0	174	WP_000704156.1	streptothricin N-acetyltransferase Sat2		
MRR160063	Klebsiella pneumoniae		NODE_2_length_483692_cov_30.569431	187250	189880	-	gyrA_D87G	Klebsiella quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	877	877	100.0	99.54	877	WP_117036963.1	DNA gyrase subunit A GyrA		
MRR160063	Klebsiella pneumoniae		NODE_2_length_483692_cov_30.569431	187250	189880	-	gyrA_S83Y	Klebsiella quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	877	877	100.0	99.54	877	WP_117036963.1	DNA gyrase subunit A GyrA		
MRR160063	Klebsiella pneumoniae		NODE_38_length_16371_cov_32.574181	367	861	+	dfrA12	trimethoprim-resistant dihydrofolate reductase DfrA12	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	165	165	100.0	100.0	165	WP_001083725.1	trimethoprim-resistant dihydrofolate reductase DfrA12		
MRR160063	Klebsiella pneumoniae		NODE_38_length_16371_cov_32.574181	1272	2060	+	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	263	263	100.0	100.0	263	WP_001206356.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2		
MRR160063	Klebsiella pneumoniae		NODE_38_length_16371_cov_32.574181	2227	2571	+	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.0	100.0	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1		
MRR160063	Klebsiella pneumoniae		NODE_38_length_16371_cov_32.574181	2568	3404	+	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.0	100.0	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1		
MRR160063	Klebsiella pneumoniae		NODE_38_length_16371_cov_32.574181	6752	7522	+	armA	ArmA family 16S rRNA (guanine(1405)-N(7))-methyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTX	257	257	100.0	100.0	257	WP_000359986.1	ArmA family 16S rRNA (guanine(1405)-N(7))-methyltransferase		
MRR160063	Klebsiella pneumoniae		NODE_38_length_16371_cov_32.574181	9824	11296	+	msr(E)	ABC-F type ribosomal protection protein Msr(E)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	491	491	100.0	100.0	491	WP_000052512.1	ABC-F type ribosomal protection protein Msr(E)		
MRR160063	Klebsiella pneumoniae		NODE_38_length_16371_cov_32.574181	11355	12236	+	mph(E)	Mph(E) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	294	294	100.0	100.0	294	WP_000155092.1	Mph(E) family macrolide 2'-phosphotransferase		
MRR160063	Klebsiella pneumoniae		NODE_3_length_444455_cov_32.341973	31116	32288	+	oqxA	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	EXACTX	391	391	100.0	100.0	391	WP_002914189.1	multidrug efflux RND transporter periplasmic adaptor subunit OqxA		
MRR160063	Klebsiella pneumoniae		NODE_3_length_444455_cov_32.341973	32315	35464	+	oqxB	multidrug efflux RND transporter permease subunit OqxB	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTX	1050	1050	100.0	99.9	1050	WP_021312368.1	multidrug efflux RND transporter permease subunit OqxB20		
MRR160063	Klebsiella pneumoniae		NODE_43_length_9433_cov_27.355685	6781	7143	-	ble	bleomycin binding protein Ble-MBL	core	AMR	AMR	BLEOMYCIN	BLEOMYCIN	EXACTX	121	121	100.0	100.0	121	WP_004201167.1	bleomycin binding protein Ble-MBL		
MRR160063	Klebsiella pneumoniae		NODE_43_length_9433_cov_27.355685	7150	7959	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	270	270	100.0	100.0	270	WP_004201164.1	subclass B1 metallo-beta-lactamase NDM-1		
MRR160063	Klebsiella pneumoniae		NODE_46_length_6268_cov_185.635564	2416	3210	+	blaOXA-232	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-232	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	265	265	100.0	100.0	265	WP_043907054.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-232		
MRR160063	Klebsiella pneumoniae		NODE_47_length_6145_cov_31.247923	144	614	+	dfrA14	trimethoprim-resistant dihydrofolate reductase DfrA14	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	157	157	100.0	100.0	157	WP_004201280.1	trimethoprim-resistant dihydrofolate reductase DfrA14		
MRR160063	Klebsiella pneumoniae		NODE_48_length_6122_cov_32.103586	4531	5172	+	qnrB1	quinolone resistance pentapeptide repeat protein QnrB1	core	AMR	AMR	QUINOLONE	QUINOLONE	ALLELEX	214	214	100.0	100.0	214	WP_014386481.1	quinolone resistance pentapeptide repeat protein QnrB1		
MRR160063	Klebsiella pneumoniae		NODE_51_length_3096_cov_32.484001	2528	2959	+	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	144	144	100.0	93.75	144	CAA77320.1	mercury resistance transcriptional regulator MerR		
MRR160063	Klebsiella pneumoniae		NODE_53_length_2438_cov_62.019905	710	1537	-	blaOXA-1	oxacillin-hydrolyzing class D beta-lactamase OXA-1	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	276	276	100.0	100.0	276	WP_001334766.1	oxacillin-hydrolyzing class D beta-lactamase OXA-1		
MRR160063	Klebsiella pneumoniae		NODE_53_length_2438_cov_62.019905	1671	2222	-	aac(6')-Ib-cr5	fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5	core	AMR	AMR	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/TOBRAMYCIN/QUINOLONE	ALLELEX	184	184	100.0	100.0	184	WP_063840321.1	fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5		
MRR160063	Klebsiella pneumoniae		NODE_57_length_2052_cov_37.696104	669	1445	-	aph(3')-VI	APH(3')-VI family aminoglycoside O-phosphotransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTX	259	259	100.0	100.0	259	WP_014386410.1	APH(3')-VI family aminoglycoside O-phosphotransferase		
MRR160063	Klebsiella pneumoniae		NODE_5_length_350190_cov_33.848142	15585	16001	+	fosA	FosA family fosfomycin resistance glutathione transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTX	139	139	100.0	100.0	139	WP_004146118.1	FosA family fosfomycin resistance glutathione transferase		
MRR160063	Klebsiella pneumoniae		NODE_61_length_1761_cov_42.015300	351	1007	+	catA1	type A-1 chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	219	219	100.0	100.0	219	WP_000412211.1	type A-1 chloramphenicol O-acetyltransferase		
MRR160063	Klebsiella pneumoniae		NODE_7_length_287344_cov_28.230916	79218	80075	+	blaSHV-28	class A beta-lactamase SHV-28	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.0	100.0	286	WP_004179754.1	class A beta-lactamase SHV-28		
MRR160064	Klebsiella pneumoniae		NODE_10_length_161899_cov_47.721175	147420	147836	-	fosA	FosA family fosfomycin resistance glutathione transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	BLASTX	139	139	100.0	98.56	139	WP_004214174.1	FosA family fosfomycin resistance glutathione transferase		
MRR160064	Klebsiella pneumoniae		NODE_10_length_161899_cov_47.721175	147423	147836	-	fosA	FosA family fosfomycin resistance glutathione transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	BLASTX	138	139	99.28	99.28	138	WP_004146118.1	FosA family fosfomycin resistance glutathione transferase		
MRR160064	Klebsiella pneumoniae		NODE_1_length_746741_cov_45.743932	566997	568091	-	pmrB_R256G	Klebsiella colistin resistant PmrB	core	AMR	POINT	COLISTIN	COLISTIN	POINTX	365	365	100.0	99.45	365	WP_004179093.1	two-component system sensor histidine kinase PmrB		
MRR160064	Klebsiella pneumoniae		NODE_25_length_40903_cov_47.808932	1117	1545	-	silE	silver-binding protein SilE	plus	STRESS	METAL	SILVER	SILVER	BLASTX	143	143	100.0	91.61	143	AAD11743.1	silver-binding protein SilE		
MRR160064	Klebsiella pneumoniae		NODE_25_length_40903_cov_47.808932	1799	3271	-	silS	copper/silver sensor histidine kinase SilS	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	EXACTX	491	491	100.0	100.0	491	SPD96882.1	copper/silver sensor histidine kinase SilS		
MRR160064	Klebsiella pneumoniae		NODE_25_length_40903_cov_47.808932	3267	3944	-	silR	copper/silver response regulator transcription factor SilR	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	EXACTX	226	226	100.0	100.0	226	SPD96883.1	copper/silver response regulator transcription factor SilR		
MRR160064	Klebsiella pneumoniae		NODE_25_length_40903_cov_47.808932	4134	5516	+	silC	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	EXACTX	461	461	100.0	100.0	461	SPD96884.1	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC		
MRR160064	Klebsiella pneumoniae		NODE_25_length_40903_cov_47.808932	5548	5898	+	silF	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTX	117	117	100.0	99.15	117	KGL71342.1	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF		
MRR160064	Klebsiella pneumoniae		NODE_25_length_40903_cov_47.808932	6015	7304	+	silB	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTX	430	430	100.0	97.91	430	AAD11748.1	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB		
MRR160064	Klebsiella pneumoniae		NODE_25_length_40903_cov_47.808932	7318	10461	+	silA	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTX	1048	1048	100.0	98.85	1048	AAD11749.1	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA		
MRR160064	Klebsiella pneumoniae		NODE_25_length_40903_cov_47.808932	11097	13562	+	silP	Ag(+)-translocating P-type ATPase SilP	plus	STRESS	METAL	SILVER	SILVER	BLASTX	822	824	99.64	94.53	823	AAD11750.1	Ag(+)-translocating P-type ATPase SilP		
MRR160064	Klebsiella pneumoniae		NODE_25_length_40903_cov_47.808932	15546	17360	+	pcoA	multicopper oxidase PcoA	plus	STRESS	METAL	COPPER	COPPER	EXACTX	605	605	100.0	100.0	605	CAA58525.1	multicopper oxidase PcoA		
MRR160064	Klebsiella pneumoniae		NODE_25_length_40903_cov_47.808932	17369	18256	+	pcoB	copper-binding protein PcoB	plus	STRESS	METAL	COPPER	COPPER	EXACTX	296	296	100.0	100.0	296	CAA58526.1	copper-binding protein PcoB		
MRR160064	Klebsiella pneumoniae		NODE_25_length_40903_cov_47.808932	18299	18676	+	pcoC	copper resistance system metallochaperone PcoC	plus	STRESS	METAL	COPPER	COPPER	EXACTX	126	126	100.0	100.0	126	CAA58527.1	copper resistance system metallochaperone PcoC		
MRR160064	Klebsiella pneumoniae		NODE_25_length_40903_cov_47.808932	18684	19610	+	pcoD	copper resistance inner membrane protein PcoD	plus	STRESS	METAL	COPPER	COPPER	BLASTX	309	309	100.0	99.68	309	CAA58528.1	copper resistance inner membrane protein PcoD		
MRR160064	Klebsiella pneumoniae		NODE_25_length_40903_cov_47.808932	19668	20345	+	pcoR	copper response regulator transcription factor PcoR	plus	STRESS	METAL	COPPER	COPPER	EXACTX	226	226	100.0	100.0	226	CAA58529.1	copper response regulator transcription factor PcoR		
MRR160064	Klebsiella pneumoniae		NODE_25_length_40903_cov_47.808932	20345	21742	+	pcoS	copper resistance membrane spanning protein PcoS	plus	STRESS	METAL	COPPER	COPPER	BLASTX	466	466	100.0	99.14	466	CAA58530.1	copper resistance membrane spanning protein PcoS		
MRR160064	Klebsiella pneumoniae		NODE_25_length_40903_cov_47.808932	21962	22393	+	pcoE	copper resistance system metallochaperone PcoE	plus	STRESS	METAL	COPPER	COPPER	BLASTX	144	144	100.0	94.44	144	CAA58532.1	copper resistance system metallochaperone PcoE		
MRR160064	Klebsiella pneumoniae		NODE_25_length_40903_cov_47.808932	30873	32159	-	arsB	arsenite efflux transporter membrane subunit ArsB	plus	STRESS	METAL	ARSENIC	ARSENITE	EXACTX	429	429	100.0	100.0	429	BAA24823.1	arsenite efflux transporter membrane subunit ArsB		
MRR160064	Klebsiella pneumoniae		NODE_25_length_40903_cov_47.808932	32210	33958	-	arsA	arsenite efflux transporter ATPase subunit ArsA	plus	STRESS	METAL	ARSENIC	ARSENITE	EXACTX	583	583	100.0	100.0	583	BAA24822.1	arsenite efflux transporter ATPase subunit ArsA		
MRR160064	Klebsiella pneumoniae		NODE_25_length_40903_cov_47.808932	33979	34338	-	arsD	arsenite efflux transporter metallochaperone ArsD	plus	STRESS	METAL	ARSENIC	ARSENITE	BLASTX	120	120	100.0	91.67	120	AAB09625.1	arsenite efflux transporter metallochaperone ArsD		
MRR160064	Klebsiella pneumoniae		NODE_25_length_40903_cov_47.808932	34391	34738	-	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	plus	STRESS	METAL			EXACTX	116	116	100.0	100.0	116	AET17094.1	As(III)-sensing metalloregulatory transcriptional repressor ArsR		
MRR160064	Klebsiella pneumoniae		NODE_2_length_596645_cov_41.597306	319355	320212	+	blaSHV-11	class A broad-spectrum beta-lactamase SHV-11	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.0	100.0	286	WP_004176269.1	class A broad-spectrum beta-lactamase SHV-11		
MRR160064	Klebsiella pneumoniae		NODE_34_length_11862_cov_55.974009	3366	4178	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.0	100.0	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2		
MRR160064	Klebsiella pneumoniae		NODE_34_length_11862_cov_55.974009	4218	5042	+	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	275	275	100.0	100.0	275	WP_109545041.1	aminoglycoside O-phosphotransferase APH(3'')-Ib		
MRR160064	Klebsiella pneumoniae		NODE_34_length_11862_cov_55.974009	5045	5878	+	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	278	278	100.0	100.0	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id		
MRR160064	Klebsiella pneumoniae		NODE_34_length_11862_cov_55.974009	6605	7462	-	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.0	100.0	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1		
MRR160064	Klebsiella pneumoniae		NODE_34_length_11862_cov_55.974009	10284	11156	+	blaCTX-M-15	class A extended-spectrum beta-lactamase CTX-M-15	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	291	291	100.0	100.0	291	WP_000239590.1	class A extended-spectrum beta-lactamase CTX-M-15		
MRR160064	Klebsiella pneumoniae		NODE_37_length_7041_cov_55.409025	4732	5202	-	dfrA14	trimethoprim-resistant dihydrofolate reductase DfrA14	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	157	157	100.0	100.0	157	WP_004201280.1	trimethoprim-resistant dihydrofolate reductase DfrA14		
MRR160064	Klebsiella pneumoniae		NODE_38_length_5219_cov_63.539474	1815	3011	-	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	399	399	100.0	100.0	399	WP_000804064.1	tetracycline efflux MFS transporter Tet(A)		
MRR160064	Klebsiella pneumoniae		NODE_3_length_549353_cov_41.530117	203209	205839	-	gyrA_S83I	Klebsiella quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	877	877	100.0	99.77	877	WP_117036963.1	DNA gyrase subunit A GyrA		
MRR160064	Klebsiella pneumoniae		NODE_43_length_4001_cov_51.781363	859	1500	-	qnrB1	quinolone resistance pentapeptide repeat protein QnrB1	core	AMR	AMR	QUINOLONE	QUINOLONE	ALLELEX	214	214	100.0	100.0	214	WP_014386481.1	quinolone resistance pentapeptide repeat protein QnrB1		
MRR160064	Klebsiella pneumoniae		NODE_46_length_2853_cov_65.902788	171	1028	+	aac(3)-IIe	aminoglycoside N-acetyltransferase AAC(3)-IIe	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTX	286	286	100.0	100.0	286	WP_000557452.1	aminoglycoside N-acetyltransferase AAC(3)-IIe		
MRR160064	Klebsiella pneumoniae		NODE_47_length_2439_cov_59.177336	219	770	+	aac(6')-Ib-cr5	fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5	core	AMR	AMR	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/TOBRAMYCIN/QUINOLONE	ALLELEX	184	184	100.0	100.0	184	WP_063840321.1	fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5		
MRR160064	Klebsiella pneumoniae		NODE_47_length_2439_cov_59.177336	904	1731	+	blaOXA-1	oxacillin-hydrolyzing class D beta-lactamase OXA-1	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	276	276	100.0	100.0	276	WP_001334766.1	oxacillin-hydrolyzing class D beta-lactamase OXA-1		
MRR160064	Klebsiella pneumoniae		NODE_49_length_2231_cov_76.645038	1412	2206	-	blaOXA-48	carbapenem-hydrolyzing class D beta-lactamase OXA-48	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	265	265	100.0	100.0	265	WP_015059991.1	carbapenem-hydrolyzing class D beta-lactamase OXA-48		
MRR160064	Klebsiella pneumoniae		NODE_4_length_492447_cov_48.780206	91062	92243	-	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	394	394	100.0	99.49	394	ACN65732.1	multidrug efflux MFS transporter EmrD		
MRR160064	Klebsiella pneumoniae		NODE_5_length_432298_cov_48.398000	397029	400178	-	oqxB	multidrug efflux RND transporter permease subunit OqxB	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTX	1050	1050	100.0	99.81	1050	WP_016947602.1	multidrug efflux RND transporter permease subunit OqxB25		
